invoice_no,delivery_date,fuel_type,quantity,unit,cost_aud,site_area,source_row,delivery_date_raw,delivery_month,date_precision
INV-40345,2025-04-15,Petrol (ULP),5046.0,L,9335.1,Light Vehicles,76,15/04/2025,2025-04,day
INV-40559,2025-09-15,Diesel,78690.0,L,146552.53,Open Cut - South Pit,77,15/09/2025,2025-09,day
INV-40455,2025-07-27,Diesel,65950.0,L,117551.74,Processing Plant,78,27/07/2025,2025-07,day
INV-40282,,Diesel,33704.0,L,58922.26,Processing Plant,79,Mar-25,2025-03,month
INV-40309,2025-03-15,Petrol (ULP),5178.0,L,9579.3,Light Vehicles,80,15/03/2025,2025-03,day
INV-40786,2026-02-12,Diesel,61658.0,L,106539.02,Processing Plant,81,2026-02-12,2026-02,day
INV-40539,2025-08-13,Diesel,45860.0,L,86761.15,Haul Fleet,82,13/08/2025,2025-08,day
INV-40686,,Diesel,78195.0,L,148502.1,Open Cut - South Pit,83,Jan-26,2026-01,month
INV-40274,2025-03-13,Diesel,56006.0,L,107148.24,Open Cut - North Pit,84,13/03/2025,2025-03,day
INV-40408,2025-06-27,Diesel,30482.0,L,55101.13,Open Cut - North Pit,85,27/06/2025,2025-06,day
INV-40384,2025-06-13,Diesel,34795.0,L,61455.6,Open Cut - North Pit,86,13/06/2025,2025-06,day
INV-40357,2025-05-09,Diesel,70670.0,L,134515.51,Processing Plant,87,09/05/2025,2025-05,day
INV-40266,,Diesel,70138.0,L,134871.74,Processing Plant,88,Mar-25,2025-03,month
INV-40808,2026-03-07,Diesel,125320.0,L,225078.32,Processing Plant,89,07/03/2026,2026-03,day
INV-40393,,Diesel,82175.0,L,158077.05,Open Cut - North Pit,90,Jun-25,2025-06,month
INV-40328,,Diesel,53508.0,L,97762.91,Open Cut - North Pit,91,Apr-25,2025-04,month
INV-40210,2025-01-15,Diesel,52150.0,L,92202.65,Open Cut - North Pit,92,15/01/2025,2025-01,day
INV-40610,2025-10-05,Diesel,73770.0,L,129992.44,Open Cut - North Pit,94,05/10/2025,2025-10,day
INV-40461,2025-07-21,Diesel,70661.0,L,135311.63,Haul Fleet,95,21/07/2025,2025-07,day
INV-40338,2025-04-18,Diesel,71468.0,L,124003.02,Haul Fleet,96,18/04/2025,2025-04,day
INV-40236,2025-01-04,Diesel,39492.0,L,71229.21,Haul Fleet,97,04/01/2025,2025-01,day
INV-40396,2025-06-02,Diesel,67729.0,L,121443.51,Haul Fleet,98,02/06/2025,2025-06,day
INV-40660,2025-12-09,Diesel,47642.0,L,88496.29,Site Services,99,09/12/2025,2025-12,day
INV-40558,2025-09-26,Diesel,59163.0,L,109576.1,Site Services,100,26/09/2025,2025-09,day
INV-40833,2026-04-11,Diesel,99362.0,L,174742.74,Processing Plant,101,11/04/2026,2026-04,day
INV-40605,2025-10-13,Diesel,52470.0,L,96601.6,Open Cut - South Pit,102,2025-10-13,2025-10,day
INV-40865,2026-04-05,Diesel,41780.0,L,72207.15,Open Cut - North Pit,104,05/04/2026,2026-04,day
INV-40967,2026-06-15,Petrol (ULP),4183.0,L,7738.55,Light Vehicles,105,15/06/2026,2026-06,day
INV-40949,2026-06-21,Diesel,41459.0,L,76580.59,Processing Plant,106,21/06/2026,2026-06,day
INV-40948,2026-06-15,Diesel,52572.0,L,101307.9,Light Vehicles,107,15/06/2026,2026-06,day
INV-40427,2025-06-20,Diesel,52874.0,L,90962.26,Processing Plant,108,20/06/2025,2025-06,day
INV-40551,2025-08-15,Petrol (ULP),4874.0,L,9016.9,Light Vehicles,110,15/08/2025,2025-08,day
INV-40883,2026-05-23,Diesel,93502.0,L,180939.01,Open Cut - South Pit,111,23/05/2026,2026-05,day
INV-40329,2025-04-19,Diesel,73541.0,L,127415.02,Open Cut - South Pit,112,19/04/2025,2025-04,day
INV-40856,2026-04-25,Diesel,76435.0,L,145297.54,Open Cut - North Pit,113,25/04/2026,2026-04,day
INV-40472,2025-07-27,Diesel,51296.0,L,99376.91,Site Services,114,2025-07-27,2025-07,day
INV-40848,,Diesel,66611.0,L,126158.32,Processing Plant,115,Apr-26,2026-04,month
INV-40619,2025-10-05,Diesel,92879.0,L,163418.96,Processing Plant,116,05/10/2025,2025-10,day
INV-40530,2025-08-26,Diesel,40035.0,L,71081.55,Open Cut - North Pit,117,2025-08-26,2025-08,day
INV-40480,,Diesel,75506.0,L,144934.75,Open Cut - North Pit,118,Jul-25,2025-07,month
INV-40652,,Diesel,117980.0,L,203773.15,Open Cut - South Pit,119,Dec-25,2025-12,month
INV-40493,2025-08-24,Diesel,48580.0,L,87909.73,Open Cut - South Pit,120,24/08/2025,2025-08,day
INV-40368,2025-05-06,Diesel,48662.0,L,91380.31,Processing Plant,121,06/05/2025,2025-05,day
INV-40256,2025-02-14,Diesel,61091.0,L,111923.79,Open Cut - North Pit,122,14/02/2025,2025-02,day
INV-41777,2025-08-14,Diesel,-12500.0,L,-23375.0,Haul Fleet,123,14/08/2025,2025-08,day
INV-40239,2025-01-15,Petrol (ULP),4093.0,L,7572.05,Light Vehicles,124,15/01/2025,2025-01,day
INV-40910,,Diesel,63975.0,L,120272.85,Processing Plant,125,May-26,2026-05,month
INV-40942,2026-06-25,Diesel,89479.0,L,164855.92,Processing Plant,126,25/06/2026,2026-06,day
INV-40300,2025-03-12,Diesel,38845.0,L,69192.71,Processing Plant,127,12/03/2025,2025-03,day
INV-40298,2025-03-19,Diesel,56005.0,L,96416.83,Open Cut - North Pit,128,19/03/2025,2025-03,day
INV-40265,2025-02-15,Petrol (ULP),4021.0,L,7438.85,Light Vehicles,129,15/02/2025,2025-02,day
INV-40308,2025-03-17,Diesel,48571.0,L,90584.07,Open Cut - South Pit,130,2025-03-17,2025-03,day
INV-40651,2025-12-08,Diesel,106746.0,L,187292.02,Open Cut - North Pit,131,08/12/2025,2025-12,day
INV-40625,2025-10-17,Diesel,68418.0,L,120453.25,Site Services,132,2025-10-17,2025-10,day
INV-40400,2025-06-27,Diesel,36909.0,L,63798.55,Open Cut - North Pit,134,27/06/2025,2025-06,day
INV-40672,2025-12-15,Petrol (ULP),4954.0,L,9164.9,Light Vehicles,135,15/12/2025,2025-12,day
INV-40839,2026-04-10,Diesel,81162.0,L,156872.01,Haul Fleet,136,10/04/2026,2026-04,day
INV-40799,2026-02-15,Petrol (ULP),4219.0,L,7805.15,Light Vehicles,137,15/02/2026,2026-02,day
INV-40724,2026-01-05,Diesel,44571.0,L,83012.83,Site Services,138,2026-01-05,2026-01,day
INV-40488,2025-07-15,Petrol (ULP),4852.0,L,8976.2,Light Vehicles,139,15/07/2025,2025-07,day
INV-40935,2026-06-13,Diesel,60338.0,L,110076.82,Open Cut - North Pit,140,13/06/2026,2026-06,day
INV-40311,2025-04-10,Diesel,65067.0,L,118257.65,Processing Plant,141,2025-04-10,2025-04,day
INV-40244,2025-02-19,Diesel,46620.0,L,88831.1,Open Cut - North Pit,142,19/02/2025,2025-02,day
INV-40287,2025-03-21,Diesel,62543.0,L,120355.19,Haul Fleet,144,2025-03-21,2025-03,day
INV-40767,,Diesel,65927.0,L,118210.36,Haul Fleet,145,Feb-26,2026-02,month
INV-40376,2025-05-15,Petrol (ULP),4167.0,L,7708.95,Light Vehicles,147,15/05/2025,2025-05,day
INV-40440,2025-06-15,Petrol (ULP),4372.0,L,8088.2,Light Vehicles,148,15/06/2025,2025-06,day
INV-40214,,Diesel,48661.0,L,88506.34,Haul Fleet,149,Jan-25,2025-01,month
INV-40678,2026-01-23,Diesel,65027.0,L,122763.23,Open Cut - South Pit,150,23/01/2026,2026-01,day
INV-40667,2025-12-09,Diesel,60914.0,L,115849.42,Open Cut - North Pit,151,09/12/2025,2025-12,day
