source_file,source_row,record_id,field,issue_code,severity,original_value,action,message
fuel_deliveries.csv,71,INV-40707,delivery_date,MONTH_ONLY_DATE,info,Jan-26,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,75,INV-40543,delivery_date,MONTH_ONLY_DATE,info,Aug-25,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,79,INV-40282,delivery_date,MONTH_ONLY_DATE,info,Mar-25,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,83,INV-40686,delivery_date,MONTH_ONLY_DATE,info,Jan-26,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,88,INV-40266,delivery_date,MONTH_ONLY_DATE,info,Mar-25,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,90,INV-40393,delivery_date,MONTH_ONLY_DATE,info,Jun-25,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,91,INV-40328,delivery_date,MONTH_ONLY_DATE,info,Apr-25,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,115,INV-40848,delivery_date,MONTH_ONLY_DATE,info,Apr-26,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,118,INV-40480,delivery_date,MONTH_ONLY_DATE,info,Jul-25,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,119,INV-40652,delivery_date,MONTH_ONLY_DATE,info,Dec-25,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,125,INV-40910,delivery_date,MONTH_ONLY_DATE,info,May-26,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,145,INV-40767,delivery_date,MONTH_ONLY_DATE,info,Feb-26,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,149,INV-40214,delivery_date,MONTH_ONLY_DATE,info,Jan-25,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
incident_register.csv,13,INC-2025-011,incident_id,DUPLICATE_INCIDENT_ID,error,INC-2025-011,retained_with_surrogate_key,Duplicate source incident ID retained as a separate record using an internal database identifier.
incident_register.csv,14,INC-2025-011,incident_id,DUPLICATE_INCIDENT_ID,error,INC-2025-011,retained_with_surrogate_key,Duplicate source incident ID retained as a separate record using an internal database identifier.
suppliers.csv,3,Ironline Fuel Distributors P/L,abn,MISSING_ABN,warning,,flagged,Supplier ABN is missing.
suppliers.csv,10,SafeGuard PPE Supplies,abn,MISSING_ABN,warning,,flagged,Supplier ABN is missing.
suppliers.csv,9,TerraForm Rehabilitation Co,abn,INVALID_ABN_FORMAT,warning,5501822,flagged,ABN does not contain exactly 11 digits.
suppliers.csv,5,Blackwood Heavy Maintenance,supplier_name,SUPPLIER_NAME_INCONSISTENCY,warning,Blackwood Heavy Maintenance,retained,The same ABN is associated with inconsistent supplier names. Related supplier name: Blackwood Heavy Maintanence.
suppliers.csv,6,Blackwood Heavy Maintanence,supplier_name,SUPPLIER_NAME_INCONSISTENCY,warning,Blackwood Heavy Maintanence,retained,The same ABN is associated with inconsistent supplier names. Related supplier name: Blackwood Heavy Maintenance.
suppliers.csv,2,Ironline Fuel Distributors Pty Ltd,supplier_name,POSSIBLE_DUPLICATE_SUPPLIER,warning,Ironline Fuel Distributors Pty Ltd,retained,Supplier name closely matches another supplier record. Related supplier: Ironline Fuel Distributors P/L.
suppliers.csv,3,Ironline Fuel Distributors P/L,supplier_name,POSSIBLE_DUPLICATE_SUPPLIER,warning,Ironline Fuel Distributors P/L,retained,Supplier name closely matches another supplier record. Related supplier: Ironline Fuel Distributors Pty Ltd.
