meter_id,meter_description,period,consumption,unit,source_row
MTR-01,Processing Plant,2025-12,1020016.0,kWh,68
MTR-02,CHPP Conveyors,2025-12,427976.8,kWh,69
MTR-03,Admin & Camp,2025-12,120810.3,kWh,70
MTR-04,Workshops,2025-12,100421.2,kWh,71
MTR-05,Water Management,2025-12,157081.1,kWh,72
MTR-07,Ventilation & Dewatering,2025-12,266.7,kWh,73
MTR-01,Processing Plant,2026-01,983621.2,kWh,74
MTR-02,CHPP Conveyors,2026-01,418381.8,kWh,75
MTR-03,Admin & Camp,2026-01,116734.7,kWh,76
MTR-04,Workshops,2026-01,94143.0,kWh,77
MTR-05,Water Management,2026-01,149076.1,kWh,78
MTR-07,Ventilation & Dewatering,2026-01,248.4,kWh,79
MTR-01,Processing Plant,2026-02,940787.2,kWh,80
MTR-02,CHPP Conveyors,2026-02,435696.2,kWh,81
MTR-03,Admin & Camp,2026-02,117773.2,kWh,82
MTR-04,Workshops,2026-02,92324.7,kWh,83
MTR-05,Water Management,2026-02,144287.4,kWh,84
MTR-07,Ventilation & Dewatering,2026-02,244.6,kWh,85
MTR-01,Processing Plant,2026-03,359539.5,kWh,86
MTR-02,CHPP Conveyors,2026-03,135486.9,kWh,87
MTR-03,Admin & Camp,2026-03,42866.2,kWh,88
MTR-04,Workshops,2026-03,35176.4,kWh,89
MTR-05,Water Management,2026-03,56057.7,kWh,90
MTR-07,Ventilation & Dewatering,2026-03,85.1,kWh,91
MTR-01,Processing Plant,2026-04,957604.1,kWh,92
MTR-02,CHPP Conveyors,2026-04,425286.1,kWh,93
MTR-03,Admin & Camp,2026-04,111904.9,kWh,94
MTR-04,Workshops,2026-04,94343.1,kWh,95
MTR-05,Water Management,2026-04,144812.6,kWh,96
MTR-07,Ventilation & Dewatering,2026-04,272.1,kWh,97
MTR-01,Processing Plant,2026-05,1017194.6,kWh,98
MTR-02,CHPP Conveyors,2026-05,427739.1,kWh,99
MTR-03,Admin & Camp,2026-05,112474.7,kWh,100
MTR-04,Workshops,2026-05,95162.3,kWh,101
MTR-05,Water Management,2026-05,150103.1,kWh,102
MTR-07,Ventilation & Dewatering,2026-05,266.4,kWh,103
MTR-01,Processing Plant,2026-06,943989.1,kWh,104
MTR-02,CHPP Conveyors,2026-06,406797.0,kWh,105
MTR-03,Admin & Camp,2026-06,114447.0,kWh,106
MTR-04,Workshops,2026-06,99340.3,kWh,107
MTR-05,Water Management,2026-06,150913.2,kWh,108
MTR-07,Ventilation & Dewatering,2026-06,261.2,kWh,109
